Date,Narration,Withdrawal,Deposit
2024-01-01,Opening Balance,,100000
2024-01-02,UPI/ZOMATO/FOOD/ORDER9182,450,
2024-01-03,UPI/SWIGGY/BANGALORE/7364,380,
2024-01-04,NEFT/HDFC HOME LOAN EMI/JAN,18000,
2024-01-05,UPI/AMAZON/SHOPPING/4521,1200,
2024-01-07,UPI/NETFLIX/SUBSCRIPTION/9901,649,
2024-01-08,UPI/BIGBASKET/GROCERIES/1122,2100,
2024-01-10,RENT PAYMENT/OWNER KRISHNA/JAN,15000,
2024-01-11,UPI/ZOMATO/FOOD/ORDER1020,520,
2024-01-12,UPI/OLA/RIDE/BANGALORE,180,
2024-01-13,UPI/SPOTIFY/SUBSCRIPTION/6612,119,
2024-01-15,SALARY CREDIT/EMPLOYER ACME,,85000
2024-01-16,UPI/MYNTRA/FASHION/3301,3400,
2024-01-18,UPI/SWIGGY/BANGALORE/9988,290,
2024-01-20,UPI/BIGBASKET/GROCERIES/5544,1800,
2024-01-22,UPI/PETROL/BPCL/7712,2500,
2024-01-25,NEFT/SBI PERSONAL LOAN EMI,5000,
2024-01-28,UPI/ZOMATO/FOOD/ORDER4455,670,
2024-01-30,UPI/AMAZON/SHOPPING/8871,890,
2024-02-01,UPI/SWIGGY/BANGALORE/2233,310,
2024-02-03,UPI/BIGBASKET/GROCERIES/6677,2300,
2024-02-04,NEFT/HDFC HOME LOAN EMI/FEB,18000,
2024-02-05,UPI/NETFLIX/SUBSCRIPTION/1122,649,
2024-02-07,UPI/OLA/RIDE/BANGALORE,220,
2024-02-08,RENT PAYMENT/OWNER KRISHNA/FEB,15000,
2024-02-10,UPI/ZOMATO/FOOD/ORDER7788,490,
2024-02-12,UPI/RAPIDO/RIDE/BANGALORE,95,
2024-02-14,UPI/AMAZON/SHOPPING/3344,2200,
2024-02-15,SALARY CREDIT/EMPLOYER ACME,,85000
2024-02-18,UPI/SPOTIFY/SUBSCRIPTION/3344,119,
2024-02-20,UPI/SWIGGY/BANGALORE/5566,440,
2024-02-22,UPI/BIGBASKET/GROCERIES/8899,1950,
2024-02-24,UPI/MYNTRA/FASHION/1122,1800,
2024-02-26,NEFT/SBI PERSONAL LOAN EMI,5000,
2024-02-28,UPI/PETROL/BPCL/3344,1800,
2024-03-01,UPI/ZOMATO/FOOD/ORDER5566,560,
2024-03-03,UPI/SWIGGY/BANGALORE/7788,370,
2024-03-04,NEFT/HDFC HOME LOAN EMI/MAR,18000,
2024-03-05,UPI/NETFLIX/SUBSCRIPTION/5566,649,
2024-03-07,UPI/BIGBASKET/GROCERIES/2211,2050,
2024-03-08,RENT PAYMENT/OWNER KRISHNA/MAR,15000,
2024-03-10,UPI/OLA/RIDE/BANGALORE,260,
2024-03-12,UPI/AMAZON/SHOPPING/9900,1500,
2024-03-14,UPI/SPOTIFY/SUBSCRIPTION/7788,119,
2024-03-15,SALARY CREDIT/EMPLOYER ACME,,85000
2024-03-17,UPI/MYNTRA/FASHION/6677,4200,
2024-03-19,UPI/ZOMATO/FOOD/ORDER3344,480,
2024-03-22,NEFT/SBI PERSONAL LOAN EMI,5000,
2024-03-24,UPI/PETROL/BPCL/5566,2200,
2024-03-28,UPI/SWIGGY/BANGALORE/1122,330,
